"The Break-Up Blog (Part One)","Agatha Drake","She records her videos from the future? What is she, a fucking time lord? Is she Michael J. Fox?"
"The Break-Up Blog (Part One)","Harvey Spencer","This is just like that one movie where that one guy changed one tiny, little thing in his childhood to stop the girl of his dreams from being a crackhead in the future!"
"The Break-Up Blog (Part Two)","Latika Patel","I don't know, Harvey. It's just starting to feel like we're on two different pages here. I mean, I'm 22 and I'm in grad school. I have 600,000 subscribers on Youtube. I have my shit together. You're... I don't know, sort-of modeling? Marketing? Working at a record store sometimes?::Harvey Spencer: Every-day I'm hustl-in'!"
"Dog Ed Pursuit","Dr. Edison Milford Goodson III","[trying to bond with Vince] Put your giant head on my damn shoulder!"
"Lock and Load","Bonnie Goodson","[On the argument between Ed and Rosemary] Ed, do you want to be right or do want to get laid?"
"Wi-Fight","Ed Goodson","Any new technology leads to my kids masturbating."
"You Can't Handle the Truce","Dr. Edison Milford Goodson III","Sit down. I bought you something.::Bonnie Goodson: What is it?::Dr. Edison Milford Goodson III: A male stripper, open the damn box.::Bonnie Goodson: I don't really think I'm in the mood.::Dr. Edison Milford Goodson III: Well, I wasn't in the mood to get you something but I got it. Open the box."
"'Allo 'Allo!","[repeated line]::René","You stupid woman!"
"'Allo 'Allo!","Gen. Von Klinkerhoffen","Guards! Arrest all Gypsies driving fire engines."
"'Allo 'Allo!","Capt. Bertorelli","Generalissimo, I embrace you.::[bearhugs von Klinkerhoffen to his extreme distaste]::Capt. Bertorelli: Mussolini has given me a present for you: the Italian War Hero Medal.::[produces medal]::Gen. Von Klinkerhoffen: Ah, the Italian War Hero Medal. I have never seen one of these..."
"'Allo 'Allo!","[upon seeing Leclerc's latest disguise]::René","Man of a thousand faces, every one the same."
"'Allo 'Allo!","Officer Crabtree","God Moaning. The resist-once have accqo-aired a bum. They are going to ex-plod the whaleway brodge."
"'Allo 'Allo!","Helga","What about the good news?::Herr Flick: The good news is there is no more bad news."
"'Allo 'Allo!","René","We will stick out like a carrot in an omelet."
"'Allo 'Allo!","Edith","Listen carefully, Michelle said this only once."
"'Allo 'Allo!","Michelle Dubois","Listen very carefully, I shall say this only once.::René: Well, in that case, could you please speak slowly?"
"'Allo 'Allo!","Lt. Hubert Gruber","You notice I am walking very gingerly.::René: Do not tell me you have dynamite in your trousers.::Lt. Hubert Gruber: You should not believe everything you hear, Rene."
"'Allo 'Allo!","[repeated line]::Michelle Dubois","Listen very carefully; I shall say this only once."
"'Allo 'Allo!","Edith","Tonight I will sing as I have never sung before.::René: What, in tune?"
"'Allo 'Allo!","Col. Von Strom","Ah, Helga. What can we do for you?::Capt. Hans Geering: Judging from past experience, very little."
"'Allo 'Allo!","[repeated line]::Capt. Bertorelli","What a mistake-a to make-a."
"'Allo 'Allo!","[Rene is shaving in the bathroom when there is a knock on the door]::Yvette Carte-Blanche","Rene, what are you doing?::René: Cutting my throat, my love."
"'Allo 'Allo!","[repeated line]::Roger Leclerc","[lifts glasses] It is I, Leclerc."
"'Allo 'Allo!","[in order to save René from the duel with Monsieur Alphonse, the colonel intends to have a military practice at the site and kill him in the crossfire]::René","I don't know, is it possible to just wound him?::Capt. Hans Geering: With a 22mm shell, ""just wounding"" may be difficult."
"'Allo 'Allo!","Capt. Hans Geering","Rene, your wife has many talents.::Col. Von Strom: Singing isn't one of them."
"'Allo 'Allo!","[Maria has disguised the airmen as waitresses, so René mimes to them that they must not go upstairs with the Germans]::Flying Officer Carstairs","[turning to Fairfax] What was all that about?::Flying Officer Fairfax: I think he means that if Hitler comes in and wants us to go upstairs with him, we're not to go.::Flying Officer Carstairs: Is he like ""that,"" then?::Flying Officer Fairfax: Oh, yes.::René: [to the others] And they must not speak.::[Rene turns to the airmen and mimes that they must be silent]::Flying Officer Carstairs: What does that mean?::Flying Officer Fairfax: Well, if we do go upstairs with Hitler, we're not to tell anyone.::Flying Officer Carstairs: Well, it's hardly the sort of thing you boast about, is it."
"'Allo 'Allo!","[repeated line]::Officer Crabtree","Good Moaning."
